millis,sens0,sens1,sens2,sens3,sens4
172200000,1023,1023,1023,1023,1023
172500000,1023,1023,1023,1023,1023
172800000,1023,1023,1023,1023,1023
173100000,1023,1023,1023,1023,1023
173400000,1023,1023,1023,1023,1023
173700000,1023,1023,1023,1023,1023
174000000,1023,1023,1023,1023,1023
174300000,1023,1023,1023,1023,1023
174600000,1023,1023,1023,1023,1023
174900000,1023,1023,1023,1023,1023
175200000,1023,1023,1023,1023,1023
175500000,1023,1023,1023,1023,1023
175800000,1023,1023,1023,1023,1023
176100000,1023,1023,1023,1023,1023
176400000,1023,1023,1023,1023,1023
176700000,1023,1023,1023,1023,1023
177000000,1023,1023,1023,1023,1023
177300000,1023,1023,1023,1023,1023
177600000,1023,1023,1023,1023,1023
177900000,1023,1023,1023,1023,1023
178200000,1023,1023,1023,1023,1023
178500000,1023,1023,1023,1023,1023
178800000,1023,1023,1023,1023,1023
179100000,1023,1023,1023,1023,1023
179400000,1023,1023,1023,1023,1023
179700000,1023,1023,1023,1023,1023
180000000,1023,1023,1023,1023,1023
180300000,1023,1023,1023,1023,1023
180600000,1023,1023,1023,1023,1023
180900000,1023,1023,1023,1023,1023
181200000,1023,1023,1023,1023,1023
181500000,1023,1023,1023,1023,1023
181800000,1023,1023,1023,1023,1023
182100000,1023,1023,1023,1023,1023
182400000,1023,1023,1023,1023,1023
182700000,1023,1023,1023,1023,1023
183000000,1023,1023,1023,1023,1023
183300000,1023,1023,1023,1023,1023
183600000,1023,1023,1023,1023,1023
183900000,1023,1023,1023,1023,1023
184200000,1023,1023,1023,1023,1023
184500000,1023,1023,1023,1023,1023
184800000,1023,1023,1023,1023,1023
185100000,1023,1023,1023,1023,1023
185400000,1023,1023,1023,1023,1023
185700000,1023,1023,1023,1023,1023
186000000,1023,1023,1023,1023,1023
186300000,1023,1023,1023,1023,1023
186600000,1023,1023,1023,1023,1023
186900000,1023,1023,1023,1023,1023
187200000,1023,1023,1023,1023,1023
187500000,1023,1023,1023,1023,1023
187800000,1023,1023,1023,1023,1023
188100000,1023,1023,1023,1023,1023
188400000,1023,1023,1023,1023,1023
188700000,1023,1023,1023,1023,1023
189000000,1023,1023,1023,1023,1023
189300000,1023,1023,1023,1023,1023
189600000,1023,1023,1023,1023,1023
189900000,1023,1023,1023,1023,1023
190200000,1023,1023,1023,1023,1023
190500000,1023,1023,1023,1023,1023
190800000,1023,1023,1023,1023,1023
191100000,1023,1023,1023,1023,1023
191400000,1023,1023,1023,1023,1023
191700000,1023,1023,1023,1023,1023
192000000,1023,1023,1023,1023,1023
192300000,1023,1023,1023,1023,1023
192600000,1023,1023,1023,1023,1023
